,0,1
0,List of Vehicles,
1,01/04/2019,8686175.0
2,02/04/2019,8564274.0
3,03/04/2019,8018690.0
4,04/04/2019,8360346.0
5,05/04/2019,8230542.0
6,06/04/2019,7928009.0
7,07/04/2019,7928009.0
8,08/04/2019,7746973.0
9,09/04/2019,7072601.0
10,10/04/2019,7076132.0
11,11/04/2019,7671068.0
12,12/04/2019,7474490.0
13,13/04/2019,7561024.0
14,14/04/2019,7561024.0
15,15/04/2019,7712664.0
16,16/04/2019,6696443.0
17,17/04/2019,6703715.0
18,18/04/2019,6703511.0
19,19/04/2019,7263288.0
20,20/04/2019,7692966.0
21,21/04/2019,7692966.0
22,22/04/2019,7565824.0
23,23/04/2019,7232677.0
24,24/04/2019,7166774.0
25,25/04/2019,8114967.0
26,26/04/2019,7222886.0
27,27/04/2019,7814738.0
28,28/04/2019,7814738.0
29,29/04/2019,7732987.0
30,30/04/2019,8033622.0
31,01/05/2019,8033622.0
32,02/05/2019,8129731.0
33,03/05/2019,6921160.0
34,04/05/2019,7324118.0
35,05/05/2019,7324118.0
36,06/05/2019,7133709.0
37,07/05/2019,7167102.0
38,08/05/2019,6887910.0
39,09/05/2019,7220669.0
40,10/05/2019,7728823.0
41,11/05/2019,7632444.0
42,12/05/2019,7632444.0
43,13/05/2019,7712898.0
44,14/05/2019,7447478.0
45,15/05/2019,8188276.0
46,16/05/2019,9158053.0
47,17/05/2019,8577024.0
48,18/05/2019,8579780.0
49,19/05/2019,8579780.0
50,20/05/2019,8657821.0
51,21/05/2019,8328578.0
52,22/05/2019,8428493.0
53,23/05/2019,8619708.0
54,24/05/2019,8509079.0
55,25/05/2019,7978219.0
56,26/05/2019,7978219.0
57,27/05/2019,7987436.0
58,28/05/2019,8063963.0
59,29/05/2019,7608430.0
60,30/05/2019,7409495.0
61,31/05/2019,7456583.0
62,01/06/2019,7421931.0
63,02/06/2019,7421931.0
64,03/06/2019,7392436.0
65,04/06/2019,7518339.0
66,05/06/2019,7302794.0
67,06/06/2019,7889592.0
68,07/06/2019,7639616.0
69,08/06/2019,7336376.0
70,09/06/2019,7337964.0
71,10/06/2019,7431295.0
72,11/06/2019,7174389.0
73,12/06/2019,6495374.0
74,13/06/2019,6982256.0
75,14/06/2019,7498950.0
76,15/06/2019,7751384.0
77,16/06/2019,7751384.0
78,17/06/2019,8130282.0
79,18/06/2019,8773554.0
80,19/06/2019,8807149.0
81,20/06/2019,10422104.0
82,21/06/2019,10262302.0
83,22/06/2019,10146941.0
84,23/06/2019,10146941.0
85,24/06/2019,10177517.0
86,25/06/2019,10239137.0
87,26/06/2019,9501417.0
88,27/06/2019,9871398.0
89,28/06/2019,8894592.0
90,29/06/2019,8993834.0
91,30/06/2019,8993834.0
92,01/07/2019,8380916.0
93,02/07/2019,8432956.0
94,03/07/2019,9033567.0
95,04/07/2019,8318867.0
96,05/07/2019,7917939.0
97,06/07/2019,7554859.0
98,07/07/2019,7554859.0
99,08/07/2019,7231622.44
100,09/07/2019,7246540.44
101,10/07/2019,6780549.44
102,11/07/2019,7212245.44
103,12/07/2019,7098594.44
104,13/07/2019,7132926.44
105,14/07/2019,7132926.44
106,15/07/2019,7311171.44
107,16/07/2019,8004241.44
108,17/07/2019,7477167.44
109,18/07/2019,8367847.44
110,19/07/2019,9051354.69
111,20/07/2019,9425785.69
112,21/07/2019,9425785.69
113,22/07/2019,9192835.69
114,23/07/2019,9526110.25
115,24/07/2019,9447856.25
116,25/07/2019,9924108.25
117,26/07/2019,10009672.25
118,27/07/2019,10265909.25
119,28/07/2019,10265909.25
120,29/07/2019,10374463.25
121,30/07/2019,10017183.25
122,31/07/2019,9682561.25
123,01/08/2019,9666845.25
124,02/08/2019,9587879.0
125,03/08/2019,9839100.0
126,04/08/2019,9839100.0
127,05/08/2019,8593719.0
128,06/08/2019,8792029.85
129,07/08/2019,8308917.85
130,08/08/2019,7997191.85
131,09/08/2019,8203305.85
132,10/08/2019,8212961.85
133,11/08/2019,8212961.85
134,12/08/2019,8285739.0
135,13/08/2019,8353763.0
136,14/08/2019,8494375.0
137,15/08/2019,8576056.0
138,17/08/2019,7791733.0
139,16/08/2019,8197789.0
140,19/08/2019,8361386.0
141,18/08/2019,7791733.0
142,21/08/2019,9638137.0
143,20/08/2019,9233441.0
144,23/08/2019,9481294.0
145,22/08/2019,9890571.0
146,26/08/2019,9668332.0
147,25/08/2019,9735565.0
148,24/08/2019,9735565.0
149,29/08/2019,9449378.0
150,28/08/2019,9466975.0
151,27/08/2019,9470555.0
152,02/09/2019,9096755.0
153,01/09/2019,9125291.0
154,31/08/2019,9125291.0
155,30/08/2019,9014964.0
156,06/09/2019,8676627.0
157,05/09/2019,8455319.0
158,04/09/2019,9103182.0
159,03/09/2019,8857932.0
160,11/09/2019,8155854.0
161,10/09/2019,8391082.0
162,09/09/2019,8563820.0
163,08/09/2019,8764111.0
164,07/09/2019,8764111.0
165,21/09/2019,9088847.0
166,20/09/2019,9434866.0
167,19/09/2019,9379050.0
168,18/09/2019,7082549.0
169,17/09/2019,6999449.0
170,16/09/2019,7475856.0
171,15/09/2019,7634196.0
172,14/09/2019,7635011.0
173,13/09/2019,7915836.0
174,12/09/2019,7858455.0
175,03/10/2019,9143695.55
176,02/10/2019,8966218.55
177,01/10/2019,8751906.55
178,30/09/2019,8745068.55
179,29/09/2019,8640121.55
180,28/09/2019,8640121.55
181,27/09/2019,8881370.55
182,26/09/2019,8753511.55
183,25/09/2019,8616785.55
184,24/09/2019,8660187.55
185,23/09/2019,8833839.0
186,22/09/2019,9088847.0
187,17/10/2019,7213983.55
188,16/10/2019,7270317.55
189,15/10/2019,7402490.55
190,14/10/2019,7548589.55
191,13/10/2019,7352400.55
192,12/10/2019,7352400.55
193,11/10/2019,7204439.55
194,10/10/2019,8831984.55
195,09/10/2019,8658697.55
196,08/10/2019,8382544.55
197,07/10/2019,8350550.55
198,06/10/2019,8190857.55
199,05/10/2019,8190857.55
200,04/10/2019,8605826.55
201,02/11/2019,7475933.0
202,01/11/2019,7995898.0
203,31/10/2019,7808983.0
204,30/10/2019,7863078.0
205,29/10/2019,7862527.0
206,28/10/2019,7990025.0
207,27/10/2019,7990025.0
208,26/10/2019,7990025.0
209,25/10/2019,8232268.0
210,24/10/2019,8674225.0
211,23/10/2019,9096543.0
212,22/10/2019,9038825.0
213,21/10/2019,9347249.0
214,20/10/2019,9729236.55
215,19/10/2019,8253850.55
216,18/10/2019,7190190.55
217,22/11/2019,9453137.0
