,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,5419932.64,,,,,,,,
DATE,SALES,CASH,CHQ,adj,NET ,,OUTSTANDING,,DIFF,SALES RETURN,,,
01-04-2020,620726.00,325075.00,0.00,0.00,5715583.64,,5715583.64,,0.00,0,,,
02-04-2020,0.00,0.00,0.00,0.00,5715583.64,,5715583.64,,0.00,0,,,
03-04-2020,369067.00,239270.00,0.00,0.00,5845380.64,,5735613.64,,109767.00,0,,,5715583.64
04-04-2020,0.00,0.00,0.00,0.00,5845380.64,,5735613.64,,109767.00,0,,,369067.00
05-04-2020,114822.00,3205.00,0.00,0.00,5956997.64,,5847230.64,,109767.00,0,,,6084650.64
06-04-2020,77078.00,83150.00,0.00,0.00,5950925.64,,5827996.64,,122929.00,0,,,239270
07-04-2020,130444.00,74501.00,0.00,17408.00,5989460.64,,5917009.64,,72451.00,14953.38,,,5845380.64
08-04-2020,74522.00,336811.00,0.00,22388.00,5704783.64,,5677108.64,,27675.00,20496.52,,,
09-04-2020,1166776.00,412743.00,806068.00,0.00,5652748.64,,5808964.64,,-156216.00,0,,,
10-04-2020,312838.00,331663.00,0.00,0.00,5633923.64,,5790139.64,,-156216.00,0,,,
11-04-2020,0.00,0.00,0.00,0.00,5633923.64,,5790139.64,,-156216.00,0,,,
12-04-2020,-21401.00,153490.00,94929.00,21401.00,5342702.64,,5696651.64,,-353949.00,19719.65,,,
13-04-2020,824384.00,774551.00,0.00,0.00,5392535.64,,5554908.64,,-162373.00,0,,,
14-04-2020,674215.00,298954.00,0.00,55813.00,5711983.64,,5930169.64,,-218186.00,64416,,,
15-04-2020,491875.00,654989.00,0.00,0.00,5548869.64,,5800490.64,,-251621.00,0,,,
16-04-2020,204042.00,286154.00,0.00,0.00,5466757.64,,5766287.64,,-299530.00,0,,,
17-04-2020,285364.00,166410.00,1649589.00,0.00,3936122.64,,4329538.64,,-393416.00,0,,,
18-04-2020,244669.00,202128.00,707603.00,0.00,3271060.64,,3636558.64,,-365498.00,0,,,
19-04-2020,8053.00,69301.00,93629.00,0.00,3116183.64,,3553563.64,,-437380.00,0,,,
20-04-2020,89500.00,136734.00,290643.00,0.00,2778306.64,,3259885.64,,-481579.00,0,,,
21-04-2020,463629.00,252663.00,349032.00,0.00,2640240.64,,3130959.64,,-490719.00,0,,,
22-04-2020,2097575.00,81396.00,335442.00,0.00,4320977.64,,4546331.64,,-225354.00,0,,,
23-04-2020,1604045.00,416149.00,0.00,0.00,5508873.64,,5697320.64,,-188447.00,0,,,
